img,imgTransferSize,imgActualSize
https://www.republika.co.id/,478,0.0
republika.png,240,70.0
logo-ramadhan.png,20882,20698.0
646fd02b6303396cc3ba9c2dd11e8149.png,13797,13600.0
logo-retizen.png,10629,10687.0
logo-ihram.png,5048,5168.0
logo-rep-jogja.png,4019,4103.0
logo-rep-jabar.png,3854,3942.0
close-image.png,4534,4347.0
favicon-rep-id.ico,1414,1150.0
favicon-ihram.png,1268,1083.0
favicon-retizen.png,1488,1617.0
favicon-rep-jabar.png,2302,2419.0
favicon-rep-jogja.png,2212,2322.0
logo-republika.png,3896,4271.0
collect?v=1&_v=j96&a=1141655171&t=event&ni=1&_s=1&dl=https%3A%2F%2Fm.republika.co.id%2F&ul=en-us&de=UTF-8&dt=Republika%20Online%20Mobile&sd=24-bit&sr=360x640&vp=360x640&je=0&ec=Subkanal&ea=View&el=m.r,55,35.0
ga-audiences?v=1&t=sr&slf_rd=1&_r=4&tid=G-W1HHWT1C07&cid=1610533677.1650701078&gtm=2oe4k0&aip=1&z=864377174,501,42.0
gen_204?id=ach_evt&url=https%3A%2F%2Fm.republika.co.id%2F&tn=HEADER&cls=mobile-header%20fixed-top%20pt-3&ign=false&pw=360&ph=640&x=0&y=0,20,0.0
icon-sprite.svg,3965,9880.0
049612000-1650627344-830-556.jpg,24899,24858.0
menteri-luar-negeri-retno-marsudi-mengikuti-rapat-kerja-dengan_220214151733-885.jpg,8836,8786.0
pasukan-keamanan-israel-mengambil-posisi-saat-bentrokan-dengan-demonstran_220416131600-606.jpg,9219,9171.0
043139900-1650694284-69qbifrer5jpg.jpg,9064,9001.0
vaksin-covid-19_211117120315-589.jpeg,9146,9087.0
ga-audiences?t=sr&aip=1&_r=4&slf_rd=1&v=1&_v=j96&tid=UA-3730146-10&cid=1610533677.1650701078&jid=1321459641&_u=YEBAAEAAAAAAAC~&z=252261941,501,42.0
ga-audiences?t=sr&aip=1&_r=4&slf_rd=1&v=1&_v=j96&tid=UA-3730146-10&cid=1610533677.1650701078&jid=1321459641&_u=YEBAAEAAAAAAAC~&z=252261941,63,42.0
8633888465322138267,18684,18323.0
pageTransferSize,1189771,
totalByteWeight,3351696,
